C1-D,Personal income,Less: Contributions for governm,Less: Personal current taxes,Equals: Disposable personal inc,Less: Personal outlays,Personal consumption expenditur,Equals: Personal saving,"Population (midperiod, thousand"
,1859.572134,54.24513927,191.3817273,1668.190407,1562.138112,1534.710794,106.0522948,164266
,1897.314663,54.5553737,196.3993453,1700.915318,1586.349033,1557.252834,115.1724556,164926
,1928.145875,55.36498766,200.998977,1727.146898,1601.372089,1571.282422,125.7748089,165674
,1945.357805,55.59873259,204.4598553,1740.897949,1615.95026,1584.862797,124.9476894,166481
,1958.439406,58.61109467,209.5790658,1748.86034,1610.917056,1578.947368,137.9432834,167190
,1974.193548,58.65102639,212.3167155,1761.290323,1612.316716,1580.058651,148.973607,167869
,1980.398979,57.99118534,213.9874739,1766.411505,1613.314776,1580.839712,152.5168174,168654
,2012.335716,58.21996772,218.4689878,1793.866728,1635.347014,1602.490201,158.5197141,169497
,2011.965812,64.95726496,219.9430199,1792.592593,1642.735043,1609.116809,149.8575499,170218
,2023.654575,64.51247807,220.7005829,1803.519891,1644.502292,1611.114255,158.4517005,170915
,2032.680106,64.57409175,220.1134258,1812.56668,1658.150373,1624.459543,154.4163064,171684
,2018.543342,63.11438785,216.7113494,1801.831993,1658.847185,1625.335121,142.9848079,172463
,2004.873726,62.58307488,211.564023,1793.309703,1642.667257,1608.883474,150.6424457,173116
,2008.382045,62.31388552,207.8967685,1800.485276,1651.042241,1617.955222,149.4430352,173781
,2049.067605,62.70972001,213.9831674,1834.534353,1674.459541,1642.004511,160.0748116,174535
,2071.542392,63.19028518,216.4954118,1855.046981,1694.049124,1661.080279,160.997857,175340
,2098.866809,74.99863141,223.3535884,1875.513221,1729.89544,1697.596759,146.165216,176045
,2141.02354,75.91894697,229.3953793,1911.628161,1759.790267,1726.473319,151.8378939,176727
,2145.462464,75.67096739,232.4568567,1913.550003,1783.43949,1749.142577,129.5661168,177481
,2167.949691,75.35509053,236.9077307,1930.499837,1789.005747,1753.225632,141.4940909,178268
,2198.777255,88.73018449,245.0900828,1953.687172,1805.442839,1768.652275,148.2443326,179694
,2214.320349,88.89607241,247.8314746,1965.95011,1830.720328,1793.006842,135.768547,180335
,2216.024885,88.49082913,249.3832457,1966.641639,1822.91108,1784.833208,143.1942508,181094
,2213.499947,87.57876749,247.78383,1965.716117,1826.337712,1787.35448,139.3784044,181915
,2232.533333,89.06666667,248,1984.533333,1827.2,1787.733333,157.3333333,182634
,2260.193761,89.96060896,249.6539977,2010.539764,1850.314064,1810.923028,160.2257,183337
,2291.47863,90.7884258,251.6591452,2039.819485,1861.428192,1821.608707,178.9222193,184103
,2332.133023,91.61194662,254.7129845,2076.890489,1895.784791,1855.009532,181.6352468,184894
,2354.149115,99.51558551,260.1095198,2094.039596,1912.910699,1872.367313,181.1288964,185553
,2387.079832,100.3151261,267.3319328,2119.222689,1939.07563,1897.058824,180.6722689,186203
,2404.798072,100.5709497,273.9510764,2130.846996,1955.371641,1912.419465,175.4753549,186926
,2427.05778,100.7359466,279.7640795,2147.2937,1982.358161,1938.514536,164.9355394,187680
,2446.780825,110.8624369,281.5801801,2165.200645,1996.564826,1951.803466,168.6358195,188299
,2468.801997,111.7928453,282.3419301,2186.460067,2017.470882,1971.193844,168.9891847,188906
,2501.297623,113.1527042,283.4008097,2217.896813,2052.320149,2004.048583,165.5766636,189631
,2534.310185,113.507378,284.8003302,2249.509855,2065.318337,2015.787844,184.1915179,190362
